"sutterellaceae","desulfovibrionaceae","prevotellaceae","bacteroidaceae","porphyromonadaceae","rikenellaceae","verrucomicrobiaceae","bifidobacteriaceae","coriobacteriaceae","streptococcaceae","erysipelotrichaceae","lachnospiraceae","clostridiaceae_1","peptostreptococcaceae","ruminococcaceae","veillonellaceae","acidaminococcaceae","methanobacteriaceae"
"ERR2836448",69,2,317,26,23,1,1,1,162,21,3,21,8,1,44,169,1,1
"ERR2836449",164,23,183,86,24,1,22,142,262,1329,255,38,232,24,228,296,9,3
"ERR2836450",214,20,11,19,4,1,1,29,123,48,16,96,232,58,136,29,156,1
"ERR2836451",1,42,2,314,51,1,1,382,319,55,59,72,47,1,31,1,483,1
"ERR2836452",1,27,24,50,87,1,1,100,927,16,67,43,317,20,198,681,56,52
"ERR2836453",1,8,255,46,59,1,1,1,392,44,250,17,179,7,259,94,1,1
"ERR2836454",1,23,2,3,127,1,1,1,588,12,3,110,2,1,135,344,1,1
"ERR2836455",98,17,75,43,5,7,155,1,428,46,192,73,231,89,225,1,1,1
"ERR2836456",231,62,2,156,2,1,11,1,525,33,3,67,36,1,253,1,266,1
"ERR2836457",1,16,2,3,2,1,1,216,1437,29,3,42,12,1,191,1,1,1
"ERR2836458",1,111,447,274,48,1,1,1,194,1,3,10,54,1,534,1,1,59
"ERR2836459",27,2,73,3,2,1,1,75,143,34,25,37,130,12,59,214,1,1
"ERR2836460",1,29,28,3,10,1,1,31,249,1,114,40,323,1,163,207,1,1
"ERR2836461",126,2,233,15,2,1,1,67,241,1939,276,19,141,1,157,437,1,1
"ERR2836462",1,2,11,83,21,1,1,48,218,38,80,46,82,1,86,44,41,1
"ERR2836463",86,53,18,51,115,1,40,1,1338,27,20,42,845,1,215,82,1,1
"ERR2836464",161,52,843,256,106,16,1,101,694,21,561,58,93,1,291,1,1,46
"ERR2836465",18,27,13,181,56,52,50,1,551,294,29,29,39,1,212,1,74,1
"ERR2836466",1,14,25,3,7,1,1,2413,1034,7,256,81,15,5,588,29,1,294
"ERR2836467",114,34,40,131,19,1,1,1676,886,50,243,67,31,9,412,82,57,259
"ERR2836468",8,7,2,671,48,9,1,18,22,58,34,87,102,29,187,1,11,1
"ERR2836469",1,9,61,55,4,1,53,173,643,29,430,50,368,39,136,19,15,1
"ERR2836470",1,45,45,1709,138,224,46,39,3,29,3,190,2,1,77,1,21,1
"ERR2836471",65,5,539,36,37,1,1,1,493,207,138,56,5,1,84,132,1,1
"ERR2836472",1,2,2,3,126,24,88,1,244,1,281,17,127,1,432,142,1,1
"ERR2836473",1,2,2,814,2,250,1,1,23,795,75,1336,8,1,59,1,173,1
"ERR2836474",1,71,2,3,63,626,1,1,93,29,3,143,2,1,7,1,310,1
