"sutterellaceae","desulfovibrionaceae","prevotellaceae","bacteroidaceae","porphyromonadaceae","rikenellaceae","verrucomicrobiaceae","bifidobacteriaceae","coriobacteriaceae","streptococcaceae","erysipelotrichaceae","lachnospiraceae","clostridiaceae_1","peptostreptococcaceae","ruminococcaceae","veillonellaceae","acidaminococcaceae","methanobacteriaceae"
"ERR2836679",27,2,100,49,22,1,1,1,24,1,28,3,2,1,32,73,1,1
"ERR2836680",117,15,2,83,2,56,1,78,23,1,3,54,11,1,59,1,1,1
"ERR2836681",1,2,2,3,8,3,1,1,3,1,3,19,49,1,7,9,1,1
"ERR2836682",80,2,2,54,2,1,1,1,3,1,3,195,35,1,7,1,11,1
"ERR2836683",14,2,125,3,2,1,1,24,35,25,59,3,2,1,43,52,1,1
"ERR2836684",1,13,2,249,2,1,1,62,3,1,3,69,2,1,28,1,1,1
"ERR2836685",1,2,2,660,2,1,1,753,407,59,13,584,2,1,227,1,1,1
"ERR2836686",1,2,2,3,2,1,1,1,3,1,3,3,2,1,7,1,1,1
"ERR2836687",31,2,2,44,2,60,18,157,8,1,3,3,2,1,20,1,8,1
"ERR2836688",1,27,2,3,4,1,1,115,44,17,33,24,16,1,221,1,69,1
"ERR2836689",1,37,2,101,2,1,557,1,84,54,3,95,2,1,115,1,10,1
"ERR2836690",1,2,2,556,2,12,1,1,31,38,3,90,2,1,101,1,3,1
"ERR2836691",1,60,6,68,37,1,1,20,27,1,9,28,2,1,55,83,1,1
"ERR2836692",1,8,2,3,2,1,1,1,18,1,3,19,2,1,80,1,1,1
"ERR2836693",1,2,2,82,2,1,1,1,122,10,3,69,2,1,19,1,279,1
"ERR2836694",19,37,2,27,2,5,1,235,234,48,310,3,2,1,394,405,1,1
"ERR2836695",1,2,2,190,2,1,1,1,3,57,8,3,2,1,7,1,1,1
"ERR2836696",1,12,2,3,2,35,1,1,3,11,3,24,2,1,95,1,81,1
"ERR2836697",96,2,160,3,2,1,1,1,8,27,3,3,2,1,36,1,1,1
"ERR2836698",1,2,2,732,39,150,1,1,67,159,3,98,2,1,121,1,105,1
"ERR2836699",59,87,2,103,57,7,1,1,166,40,3,7,2,1,46,1,1,17
"ERR2836700",1,2,2,31,2,1,1,1,3,1,3,18,2,1,30,1,1,1
"ERR2836701",1,2,2,26,2,51,1,1,3,1,3,56,14,1,84,1,51,1
"ERR2836702",1,51,2,935,60,1,6,1,95,40,3,327,2,1,247,1,214,1
"ERR2836703",67,2,2,47,44,264,94,28,81,13,3,28,2,1,57,1,103,1
"ERR2836704",1,2,2,54,2,1,1,1,3,10,3,81,2,1,35,11,1,1
"ERR2836705",166,4,324,155,2,1,1,8,3,4,3,35,2,1,10,1,20,1
"ERR2836706",1,64,2,3,2,1,31,1,34,1,63,67,2,1,191,1,1,1
"ERR2836707",82,96,2,46,22,1,1,1,89,15,88,13,2,1,219,1,1,1
"ERR2836708",1,7,2,32,6,14,1,83,24,25,41,42,2,1,234,26,1,1
"ERR2836709",1,37,2,52,2,311,1,88,91,21,15,46,2,1,7,1,1,1
"ERR2836710",1,32,2,3,2,1,1,1,3,36,3,306,2,1,217,1,1,1
"ERR2836711",271,47,2,132,2,1,1,1,41,35,8,55,2,1,75,1,1,1
"ERR2836712",190,2,2,3,2,1,1,1,46,23,3,382,2,1,23,1,1,1
"ERR2836713",1,44,2,1839,2,1,1,1,273,46,3,81,2,1,25,1,483,1
"ERR2836714",1,2,2,3,37,405,1,1,138,1,55,172,2,1,25,1,591,1
"ERR2836715",102,27,2,1174,31,356,541,1,3,50,3,50,2,1,310,1,160,1
"ERR2836716",1,6,2,3,2,50,18,1,3,8,3,44,2,1,62,1,28,1
"ERR2836717",1,17,2,165,2,138,1,129,3,1,71,63,2,17,35,1,93,204
"ERR2836718",1,15,276,53,2,1,1,1,3,1,3,23,2,1,136,1,1,27
"ERR2836719",51,97,116,170,54,1,4,1,136,1,282,29,5,1,203,1,1,1
"ERR2836720",1,34,19,53,2,1,1,1,62,83,74,83,24,49,403,12,1,19
"ERR2836721",19,2,2,9,32,1,1,1,17,1,19,3,2,1,40,1,1,1
"ERR2836722",141,9,7,308,31,1,1,1,58,1,3,132,2,14,23,1,1,1
"ERR2836723",1,2,6,3,2,1,1,1,3,1,3,3,2,1,7,9,1,1
"ERR2836724",1,2,2,3,2,1,1,1,10,1,3,17,2,1,43,1,1,1
"ERR2836725",1,2,2,3,67,1,1,1,156,59,359,3,2,1,435,1,1,1
"ERR2836726",1,2,2,3,2,1,1,1,3,1,801,3,2,1,225,1,1,1
"ERR2836727",23,8,2,11,2,1,1,1,10,1,50,18,2,1,19,48,1,1
"ERR2836728",17,2,2,3,15,1,6,1,10,1,20,3,8,1,57,22,1,1
"ERR2836729",1,2,2,3,2,1,1,1,5,1,3,3,7,1,33,1,1,1
"ERR2836730",1,2,2,3,33,1,101,1,52,15,319,9,29,18,84,1,1,1
"ERR2836731",36,2,68,3,6,1,1,1,33,25,14,3,2,1,53,77,1,1
"ERR2836732",18,2,115,3,6,1,1,1,11,1,81,14,2,1,11,127,1,1
"ERR2836733",108,2,262,27,37,1,1,1,172,67,157,3,2,1,98,388,1,1
"ERR2836734",1,7,110,20,8,1,5,33,115,36,114,34,88,1,40,268,1,1
"ERR2836735",80,2,106,29,39,1,1,1,139,33,97,22,2,1,109,211,1,1
"ERR2836736",1,12,217,217,98,1,1,481,229,1,390,75,26,12,278,77,1,1
"ERR2836737",1,4,33,3,2,1,1,1,3,23,43,32,2,17,89,1,1,1
"ERR2836738",1,2,2,3,2,1,1,1,3,1,12,3,2,1,25,1,1,1
"ERR2836739",1,2,2,3,2,1,1,11,3,1,6,3,2,1,36,1,1,8
"ERR2836740",1,17,2,3,10,1,1,13,3,20,60,3,2,1,120,1,1,17
"ERR2836741",1,2,69,3,2,1,1,1,22,19,5,3,2,1,89,36,1,5
"ERR2836742",1,7,86,16,47,1,1,1,3,1,9,3,2,1,158,26,1,1
"ERR2836743",17,16,25,3,12,1,1,1,3,45,59,3,46,21,65,60,1,1
"ERR2836744",1,26,2,3,15,1,1,1,24,14,47,3,2,1,180,49,1,1
"ERR2836745",1,12,23,3,23,1,1,1,27,1,3,3,2,1,101,43,1,1
"ERR2836746",1,25,20,3,2,1,1,21,38,11,70,3,9,1,158,83,1,1
"ERR2836747",13,2,12,10,2,1,1,1,3,1,20,3,2,1,35,1,1,1
"ERR2836748",1,2,21,3,6,1,1,1,3,1,29,3,7,1,38,34,1,1
"ERR2836749",1,2,12,7,33,1,1,1,5,1,3,14,2,1,213,97,1,1
"ERR2836750",1,15,2,3,2,1,1,1,50,1,93,21,45,10,193,1,1,81
"ERR2836751",1,2,60,6,51,1,1,1,3,1,33,3,5,1,81,1,1,19
"ERR2836752",1,2,89,3,2,1,1,1,18,24,63,3,35,1,88,1,1,1
"ERR2836753",1,2,86,77,2,1,1,1,12,1,86,3,21,1,181,83,1,1
"ERR2836754",1,32,7,3,11,1,18,1,40,1,119,3,70,1,241,1,1,66
"ERR2836755",1,5,39,5,2,1,1,1,42,9,113,40,32,19,59,63,1,1
"ERR2836756",1,29,2,17,2,1,1,1,22,12,127,42,2,1,197,39,1,1
"ERR2836757",1,23,10,9,2,1,1,1,17,3,17,3,28,1,178,18,1,14
"ERR2836758",1,19,28,3,2,1,1,1,31,1,47,26,2,11,147,52,1,40
"ERR2836759",1,8,7,9,5,1,1,1,12,5,71,45,63,1,187,51,1,30
"ERR2836760",1,2,2,3,2,1,1,1,62,42,3,19,2,1,7,1,1,1
"ERR2836761",1,2,2,24,5,1,1,1,20,1,14,9,10,30,23,1,1,1
"ERR2836762",1,2,2,3,2,1,1,1,46,1,3,3,32,1,7,1,1,1
"ERR2836763",1,2,2,28,2,1,16,1,16,1,3,3,2,1,34,1,27,1
"ERR2836764",1,20,2,38,2,1,5,1,3,1,3,3,2,16,87,1,37,1
"ERR2836765",1,5,2,25,8,1,34,1,17,1,3,3,2,29,19,1,37,1
"ERR2836766",1,17,2,20,75,1,1,230,644,31,84,39,23,1,261,173,1,35
"ERR2836767",1,2,2,3,2,1,1,1,12,1,7,3,31,1,73,7,1,1
"ERR2836768",1,5,6,3,2,1,1,1,21,1,3,3,2,8,46,8,1,1
"ERR2836769",1,2,2,3,2,1,1,1,12,1,6,3,2,1,54,7,1,1
"ERR2836770",1,2,2,3,2,1,1,1,6,1,3,3,2,1,13,1,1,1
"ERR2836771",1,5,12,3,2,1,1,1,10,1,3,3,2,1,88,1,1,1
"ERR2836772",1,2,2,3,2,1,1,1,12,1,9,3,25,1,134,1,1,1
"ERR2836773",1,2,2,3,25,1,34,1,100,1,171,64,13,1,300,47,1,47
"ERR2836774",1,2,13,12,15,1,24,1,119,1,75,62,45,21,227,113,1,54
"ERR2836775",1,2,2,3,2,1,9,1,3,1,3,3,2,1,41,15,1,1
"ERR2836776",1,2,5,5,2,1,1,1,8,1,3,24,2,1,46,18,1,3
"ERR2836777",1,5,12,9,5,1,1,1,51,17,3,3,60,28,7,78,1,1
"ERR2836778",1,70,36,50,20,1,1,1,197,11,283,3,137,58,620,111,1,124
"ERR2836779",1,5,34,3,2,1,1,21,90,62,200,3,121,1,38,418,1,3
"ERR2836780",1,21,97,40,2,1,1,237,248,59,300,87,2,1,253,11,1,1
"ERR2836781",1,33,32,3,4,1,1,75,167,35,89,3,8,20,115,415,1,1
"ERR2836782",1,65,2,86,47,1,1,15,105,16,143,10,2,91,173,651,1,1
"ERR2836783",5,2,27,3,2,1,1,1,14,1,3,3,2,1,14,1,1,1
"ERR2836784",1,2,80,3,2,1,1,1,14,25,3,3,2,1,16,1,1,1
"ERR2836785",1,2,116,9,2,1,1,1,17,1,3,7,2,1,15,1,1,1
"ERR2836786",10,2,73,3,2,1,1,1,9,1,3,3,2,1,31,1,1,1
"ERR2836787",58,2,165,37,2,1,1,1,52,50,3,18,47,1,105,1,1,1
"ERR2836788",6,2,126,24,2,1,1,1,8,1,7,25,2,1,42,17,1,1
"ERR2836789",1,2,2,23,34,1,1,76,157,1,56,3,2,1,47,1,8,1
"ERR2836790",1,32,2,3,26,1,303,190,176,1,209,65,93,40,623,1,42,361
"ERR2836791",1,6,12,10,34,1,60,829,275,1,288,54,59,10,257,1,1,39
"ERR2836792",1,12,22,76,167,1,1,799,180,1,430,65,2,1,291,1,20,361
"ERR2836793",1,2,2,56,26,1,35,723,79,1,249,67,2,1,178,1,10,1
"ERR2836794",1,2,52,61,36,8,1,459,296,29,152,54,24,1,96,1,1,8
"ERR2836795",1,2,2,3,4,1,1,131,17,1,13,43,16,32,46,1,4,68
"ERR2836796",1,2,2,14,2,1,1,1,43,38,85,8,2,1,17,48,1,1
"ERR2836797",161,2,2,42,2,132,1,65,197,34,424,3,30,1,116,99,1,1
"ERR2836798",185,2,2,3,2,22,5,131,131,53,154,44,2,1,22,405,1,1
"ERR2836799",165,15,2,3,73,45,1,1,176,1,405,19,46,1,17,219,1,1
"ERR2836800",38,2,2,3,45,1,1,70,3,1,35,21,2,6,16,26,1,15
"ERR2836801",218,2,2,3,35,1,1,1,99,49,523,54,2,1,7,359,1,1
"ERR2836802",1,2,2,3,2,47,1,1,278,27,390,51,67,1,124,326,1,1
"ERR2836803",1,12,60,3,2,1,1,41,7,1,55,11,2,1,24,54,1,1
"ERR2836804",1,8,2,10,2,1,1,1,3,1,8,3,2,1,17,1,1,1
"ERR2836805",68,2,71,9,6,1,1,68,82,27,178,3,2,1,41,198,1,1
"ERR2836806",51,9,108,8,2,1,1,310,115,9,173,49,16,1,90,295,1,1
"ERR2836807",33,16,180,3,2,1,1,29,114,21,130,3,54,9,78,140,1,1
"ERR2836808",113,41,148,3,26,1,1,143,235,1,278,3,83,1,44,368,1,1
"ERR2836810",1,2,601,39,245,1,35,1,70,24,99,114,17,5,429,173,1,1
"ERR2836811",1,2,62,7,27,1,1,1,3,5,36,3,28,1,20,68,1,1
"ERR2836812",1,2,91,3,89,1,4,1,24,1,71,55,41,20,133,191,1,1
"ERR2836813",1,16,430,3,109,1,63,1,153,1,193,30,2,1,268,437,1,1
"ERR2836814",1,18,282,3,276,1,1,1,3,1,66,3,2,1,199,128,1,1
"ERR2836815",7,2,242,18,341,1,16,1,91,8,145,3,60,14,338,437,10,1
"ERR2836816",1,2,116,3,104,1,36,1,96,9,74,52,11,8,270,594,1,1
"ERR2836817",40,2,2,37,13,1,1,1,66,50,141,49,10,15,62,1,1,1
"ERR2836818",1,8,2,32,7,1,51,1,131,103,431,118,2,1,144,1,29,1
"ERR2836819",1,2,2,3,2,1,1,1,3,24,3,29,42,1,7,1,1,1
"ERR2836820",51,2,2,33,2,1,1,1,13,33,104,60,20,8,45,1,1,1
"ERR2836821",74,2,2,37,2,1,1,21,174,82,274,59,109,1,37,1,1,1
"ERR2836822",28,2,2,41,2,1,11,1,43,39,67,27,2,36,35,1,175,1
"ERR2836823",1,55,31,109,134,1,1,1,36,9,51,50,2,26,162,1,1,1
"ERR2836824",1,44,75,109,163,1,1,1,15,21,15,89,2,1,472,1,1,1
"ERR2836825",1,2,48,97,53,1,1,1,70,23,72,16,2,1,155,1,1,1
"ERR2836826",1,7,68,3,99,1,3,1,49,20,22,52,2,7,286,1,1,1
"ERR2836827",1,2,18,9,14,1,1,1,3,1,34,15,2,1,7,4,1,1
"ERR2836828",1,2,63,18,38,1,13,1,13,6,3,3,45,1,134,1,1,1
"ERR2836829",1,36,365,107,288,1,1,1,61,1,246,55,79,1,556,1,1,1
"ERR2836830",1,6,2,3,2,1,1,1,3,14,3,3,2,1,22,1,1,1
"ERR2836831",77,8,2,265,11,50,1,1,3,1,56,73,2,1,7,1,1,1
"ERR2836832",33,13,2,3,2,1,1,1,26,226,28,3,2,1,88,82,1,1
"ERR2836833",9,2,2,10,2,1,1,1,13,1,3,3,2,1,17,1,1,1
"ERR2836834",39,41,2,83,42,43,1,1,56,46,30,61,19,27,235,1,1,1
"ERR2836835",1,2,2,24,19,1,1,1,45,1,3,21,6,1,13,1,1,1
"ERR2836836",63,2,2,18,5,1,1,1,3,1,64,19,2,1,126,1,1,1
"ERR2836837",8,2,181,3,6,1,1,1,17,63,9,16,2,1,69,74,1,1
"ERR2836838",1,2,2,35,6,1,1,305,3,52,82,11,22,15,7,1,57,11
"ERR2836839",1,56,2,42,174,1,1,1,3,1,3,99,61,1,7,1,386,1
"ERR2836840",41,37,173,70,2,1,1,1,28,1,3,3,2,1,62,1,1,1
"ERR2836841",1,39,2,3,2,1,1,1,40,1,3,41,2,1,123,1,1,1
"ERR2836842",1,35,2,10,180,1,1,1,44,16,79,57,2,1,527,1,10,1
"ERR2836843",1,2,179,88,2,39,31,1,14,1,56,52,2,1,120,1,49,1
"ERR2836844",77,33,2,3,7,1,1,1,16,1,3,3,2,1,93,1,1,1
"ERR2836846",1,15,2,3,2,1,1,1,18,1,19,29,70,13,214,1,1,51
"ERR2836847",1,7,2,3,2,1,1,1,3,9,3,20,2,1,114,1,1,1
"ERR2836848",1,7,2,3,2,47,55,1,11,4,3,3,2,1,69,1,1,1
"ERR2836849",1,7,2,86,2,40,17,1,3,5,9,276,2,1,17,1,7,1
"ERR2836850",71,39,2,87,2,1,1,1,112,65,19,94,29,1,145,1,1,1
"ERR2836851",108,32,112,14,85,63,1,1,160,112,294,36,2,1,179,1,10,1
"ERR2836852",273,2,2,281,2,128,1,1,3,49,3,50,2,12,7,1,1,1
"ERR2836853",261,2,238,3,2,33,1,1,26,167,3,78,2,1,683,364,1,1
"ERR2836854",305,25,2,106,2,62,22,1,205,1,3,75,13,1,114,1,1,1
"ERR2836855",1,2,81,193,2,57,53,1,13,310,56,34,6,1,108,1,1,1
"ERR2836856",1,2,95,49,21,1,1,1,9,5,3,3,2,1,136,1,34,1
"ERR2836857",57,2,165,60,2,1,1,1,3,1,28,3,58,1,126,1,1,1
"ERR2836859",21,22,2,9,5,1,1,1,89,397,83,63,28,1,308,193,1,1
"ERR2836860",85,33,2,3,146,1,1,1,53,1,3,8,16,1,309,302,1,1
"ERR2836861",1,2,2,66,2,1,1,1,129,1,164,3,32,14,292,1,1,1
"ERR2836862",13,2,29,17,2,1,1,1,113,1,35,36,85,1,157,31,1,39
"ERR2836863",114,26,2,290,2,50,1,1,95,802,3,494,61,13,71,1,1,1
"ERR2836864",1,157,2,3,98,1,1,1,80,1,97,33,73,1,294,1,1,368
"ERR2836865",65,68,25,23,2,67,14,1,86,1,3,43,51,1,179,1,1,1
"ERR2836866",18,5,2,9,23,1,1,1,3,1,3,3,2,1,24,38,1,1
"ERR2836867",76,15,2,21,2,1,53,1,34,1,46,68,2,12,63,1,1,1
"ERR2836868",67,27,100,27,28,1,1,1,30,1,19,22,10,19,187,100,6,10
"ERR2836869",1,25,2,8,46,1,1,1,40,15,53,21,2,1,157,13,1,1
"ERR2836870",1,25,307,96,72,1,1,1,94,48,204,41,122,1,109,65,1,1
"ERR2836871",48,2,74,3,14,1,1,1,10,1,15,20,9,1,43,1,1,1
"ERR2836872",1,18,2,289,23,1,4,1,144,11,3,58,10,1,69,320,1,1
"ERR2836873",1,2,2,31,23,1,1,1,23,1,3,10,2,1,82,1,56,7
"ERR2836874",16,44,2,29,204,1,1,1,62,1,108,120,2,58,338,1,1,1
"ERR2836875",1,5,2,3,2,1,1,1,3,1,7,3,19,1,7,1,6,1
"ERR2836876",1,6,4,5,2,15,53,1,67,1,33,3,2,1,110,1,1,1
"ERR2836877",76,10,2,69,6,1,1,1,17,1,11,3,123,1,17,75,1,1
"ERR2836878",61,58,2,83,124,153,1,1,91,216,209,3,2,1,284,1,1,1
"ERR2836879",1,69,2,3,2,1,5,1,3,45,3,23,2,1,247,1,1,1
"ERR2836880",1,2,2,3,2,1,1,1,7,1,3,3,2,1,11,1,1,1
"ERR2836881",1,28,2,5,2,1,1,1,36,1,3,9,63,1,122,141,1,1
"ERR2836882",1,2,2,3,2,1,1,1,39,22,3,12,2,1,45,1,1,1
"ERR2836883",1,2,2,54,77,1,55,1,3,48,3,187,8,1,17,1,15,1
"ERR2836884",106,26,137,3,172,45,1,1,56,14,112,48,27,11,288,154,1,1
"ERR2836885",1,58,146,11,6,8,37,1,19,18,25,3,2,1,146,1,1,1
"ERR2836886",1,2,2,3,2,1,1,1,3,1,3,3,2,1,7,1,1,1
"ERR2836887",1,12,2,54,2,100,1,1,13,16,3,20,102,10,93,1,1,1
"ERR2836888",111,23,294,3,41,1,1,1,159,25,210,72,2,1,183,1,1,1
"ERR2836889",21,10,52,13,10,1,1,1,13,1,12,3,2,1,40,1,1,1
"ERR2836890",1,7,25,3,75,1,1,1,25,24,49,45,54,1,62,26,1,1
"ERR2836891",20,2,2,3,9,1,9,1,3,1,3,3,2,1,41,24,1,1
"ERR2836892",1,12,2,21,68,1,1,21,195,65,327,51,83,1,209,152,1,32
"ERR2836893",18,2,2,3,2,1,1,1,33,10,63,37,2,1,30,1,1,1
"ERR2836894",96,6,2,3,25,1,1,1,35,1,26,57,21,1,90,1,1,1
"ERR2836895",85,71,2,10,64,1,1,1,36,33,24,3,29,1,235,1,1,1
"ERR2836896",1,2,2,3,2,1,1,1,9,1,11,3,2,1,57,37,1,1
"ERR2836897",82,4,2,33,2,12,1,1,28,1,3,3,71,1,129,1,1,1
"ERR2836899",29,2,145,3,7,1,1,1,20,1,19,3,45,1,66,1,1,1
"ERR2836900",80,34,2,43,22,1,1,1,116,21,68,82,2,8,147,284,1,1
"ERR2836901",70,10,2,70,2,1,1,1,3,65,71,46,16,4,82,1,1,1
"ERR2836902",1,70,2,184,2,127,1,1,96,43,332,57,43,35,341,1,1,35
"ERR2836903",1,18,2,13,2,14,1,1,3,1,3,3,2,1,71,1,1,1
"ERR2836904",1,2,2,3,40,1,1,1,3,1,3,12,2,1,177,1,1,1
"ERR2836905",1,36,2,3,2,1,1,1,59,36,3,29,68,1,112,1,192,1
"ERR2836906",39,36,2,117,23,1,1,1,3,1,52,51,2,1,207,1,1,1
"ERR2836907",1,8,158,21,24,1,1,1,19,30,3,3,59,1,115,1,1,1
"ERR2836908",113,31,2,93,59,1,1,1,131,1,509,61,2,15,105,265,1,1
"ERR2836909",54,17,2,9,48,73,1,1,26,1,25,3,17,1,110,1,1,1
"ERR2836910",168,110,2,44,106,1,1,1,204,29,152,105,42,1,250,275,1,1
"ERR2836911",1,2,2,3,2,1,1,1,47,1,79,3,2,53,65,1,1,1
"ERR2836912",24,2,2,3,2,1,1,1,8,1,10,3,15,1,10,1,1,1
"ERR2836913",79,2,2,15,11,1,1,1,3,1,20,3,2,1,27,1,1,1
"ERR2836914",1,8,2,21,18,36,17,1,16,20,31,3,18,5,104,1,28,1
"ERR2836915",20,2,50,3,2,1,1,1,3,4,13,3,2,1,19,1,1,1
"ERR2836916",1,2,110,31,43,1,1,1,167,20,346,23,26,1,150,196,1,70
"ERR2836917",1,14,2,56,6,1,1,1,13,1,3,3,2,1,55,51,14,1
"ERR2836918",10,5,9,21,9,1,14,1,5,1,7,19,17,7,146,88,1,1
"ERR2836919",1,4,9,7,2,1,1,28,15,1,26,33,17,1,27,129,1,1
"ERR2836920",1,8,33,3,2,1,1,6,15,1,50,3,23,1,134,29,1,11
"ERR2836921",1,2,11,3,2,1,1,21,3,1,3,3,2,1,11,8,1,1
"ERR2836922",1,2,84,3,22,1,1,1,21,1,7,3,23,1,66,1,1,3
"ERR2836923",1,2,23,3,12,1,1,1,13,1,17,3,20,1,52,77,1,1
"ERR2836924",1,2,2,3,2,1,1,1,3,1,10,3,2,1,40,34,1,1
"ERR2836925",1,2,2,3,2,1,1,1,3,1,7,3,11,1,50,16,1,1
"ERR2836926",318,2,63,47,102,1,1,1,246,67,30,107,2,1,148,1,1,1
"ERR2836927",1,2,117,3,2,1,1,72,3,1,49,3,2,1,22,172,1,4
"ERR2836928",1,26,2,3,2,1,1,1,104,32,45,3,2,1,296,97,1,1
"ERR2836929",1,2,2,3,23,1,1,1,265,1,305,51,2,16,302,285,1,265
"ERR2836930",1,2,2,11,7,1,147,54,77,1,125,28,120,44,243,44,1,165
"ERR2836931",1,2,108,25,29,1,1,1,355,11,360,35,78,55,132,496,1,94
"ERR2836932",54,2,900,8,2,1,1,1,478,1,470,83,115,76,225,907,1,217
"ERR2836933",1,38,113,58,2,1,1,1,82,1,144,76,71,31,160,284,1,137
"ERR2836934",1,48,203,46,34,1,1,1,269,50,532,97,9,1,388,453,1,1
"ERR2836935",1,12,14,20,2,1,1,1,21,1,3,3,2,1,114,16,1,1
"ERR2836936",1,12,2,3,17,1,1,1,36,38,206,42,2,1,116,104,1,1
"ERR2836937",165,45,2,16,309,1,1,1,222,1,282,47,2,56,172,636,1,1
"ERR2836938",1,2,2,3,58,1,1,16,49,1,123,29,164,9,54,55,1,9
"ERR2836939",1,60,95,3,78,1,1,1,147,10,267,45,174,65,430,338,1,809
"ERR2836940",1,2,2,15,6,1,1,196,302,1,80,31,2,1,160,1,85,1
"ERR2836941",62,2,70,28,2,1,1,1,248,1,152,3,32,1,92,651,1,1
"ERR2836942",89,2,2,111,276,118,33,1,145,1,234,59,17,1,122,1,1,1
"ERR2836943",1,2,5,3,2,1,1,1,18,1,3,17,156,1,179,52,1,1
"ERR2836944",1,4,2,39,2,1,1,54,19,1,110,3,83,16,109,196,1,1
"ERR2836945",1,2,2,33,468,1,125,1,179,28,123,94,350,91,388,505,25,1
"ERR2836946",89,5,2,58,64,1,1,89,240,1,107,27,48,1,195,1,1,129
"ERR2836947",1,2,401,27,5,1,1,1,376,10,183,3,46,1,55,1,204,1
"ERR2836948",1,62,2,11,2,1,1,55,123,32,95,31,54,1,391,49,1,12
"ERR2836949",1,2,2,31,2,1,1,1,118,38,207,41,96,1,139,7,1,1
"ERR2836950",77,2,2,24,2,1,29,223,296,45,3,89,58,1,288,495,1,183
"ERR2836951",20,14,163,3,2,1,1,63,30,1,51,3,44,1,114,153,1,1
"ERR2836952",1,45,2,44,72,1,1,73,43,10,105,11,116,1,385,43,1,1
"ERR2836953",1,12,74,26,218,1,1,1,100,1,127,42,2,1,229,213,1,518
"ERR2836954",1,43,104,3,10,1,1,83,91,176,199,3,191,1,149,249,1,287
"ERR2836955",1,48,2,28,88,1,1,469,110,65,103,107,5,1,251,431,1,205
"ERR2836956",1,55,115,3,48,1,55,29,177,1,250,72,429,29,494,323,1,998
"ERR2836957",1,22,84,3,9,1,1,11,40,1,57,40,2,1,139,53,1,51
"ERR2836958",56,2,28,3,17,1,1,29,3,14,3,3,2,1,58,1,1,1
"ERR2836959",1,2,2,54,60,1,1,184,41,1,62,3,28,1,35,1,1,1
"ERR2836960",21,2,124,3,8,1,1,41,15,10,18,3,7,1,21,1,1,1
"ERR2836961",1,68,121,3,9,1,28,1,3,1,71,25,53,1,437,21,1,32
"ERR2836962",1,17,42,24,2,1,1,1,14,1,44,3,2,1,154,21,1,1
"ERR2836963",1,12,88,15,12,1,1,1,20,1,38,3,41,15,104,57,1,1
"ERR2836964",1,2,30,3,2,1,1,1,6,1,17,3,2,1,97,46,1,1
"ERR2836965",6,2,24,11,2,1,1,1,9,7,7,8,2,1,16,52,1,1
"ERR2836966",1,2,8,15,2,1,1,1,16,1,11,3,49,1,40,41,1,1
"ERR2836967",35,6,2,3,4,1,1,1,15,5,3,3,51,1,144,75,1,1
"ERR2836968",1,4,40,6,2,1,1,1,15,1,3,28,21,14,197,74,1,1
"ERR2836969",2330,15,12080,208,52,1,1,2719,2559,27,6362,887,2169,15,1150,6445,1,21
"ERR2836970",1,7,67,3,19,1,1,1,24,1,40,39,2,12,93,63,1,1
"ERR2836971",1,2,2,3,2,1,1,1,3,1,3,3,23,1,38,1,1,1
"ERR2836972",1,2,2,10,29,1,1,1,7,1,25,3,2,1,104,35,1,3
"ERR2836973",1,9,2,3,701,1,1,1,3,1,3,3,17,1,132,1,1,1
"ERR2836974",1,2,2,3,9,1,1,1,16,1,30,3,2,1,51,26,1,8
"ERR2836975",1,2,2,8,9,1,1,5,11,1,36,3,39,1,41,58,1,1
"ERR2836976",170,134,2,60,2,1,248,235,160,31,154,115,2,1,144,1,1,31
"ERR2836977",1,7,2,27,7,1,1,44,148,10,137,62,2,8,345,141,1,109
"ERR2836978",82,10,2,12,30,1,1,1,3,15,3,3,19,1,57,100,1,1
"ERR2836979",48,19,2,3,46,1,1,57,35,10,49,3,2,1,130,157,1,36
"ERR2836980",40,16,87,31,36,1,1,141,166,40,405,44,2,14,186,649,1,1
"ERR2836981",120,2,2,3,8,1,1,1,233,13,98,38,60,1,22,196,1,1
"ERR2836982",140,34,389,23,61,1,1,102,100,9,162,3,2,1,266,288,1,132
"ERR2836983",15,5,28,3,9,1,1,11,178,1,105,24,2,1,105,87,1,28
"ERR2836984",1,40,69,3,104,1,1,230,53,18,200,67,38,1,98,146,1,296
"ERR2836985",68,5,10,28,53,1,1,1,67,1,80,24,2,1,84,51,1,1
"ERR2836986",1,20,2,48,2,1,1,1,3,1,3,3,2,1,7,1,1,1
"ERR2836987",1,12,137,3,10,1,1,37,28,49,55,3,64,1,76,111,1,1
"ERR2836988",1,14,2,3,26,1,1,228,78,1,173,3,2,11,157,294,1,1
"ERR2836989",1,2,38,3,2,1,1,1,40,1,3,3,2,1,124,7,1,1
"ERR2836990",1,46,2,6,157,17,1,391,245,1,241,60,25,1,214,229,1,161
"ERR2836991",1,22,2,17,36,1,1,1,267,13,437,78,2,1,38,860,1,1
"ERR2836992",1,6,43,3,2,1,1,1,3,1,39,3,2,1,20,157,1,1
"ERR2836993",1,30,87,46,47,1,1,1,149,29,263,75,110,1,322,194,1,1
"ERR2836994",24,2,84,3,38,1,1,90,10,1,71,40,6,1,50,125,1,1
"ERR2836995",145,7,2,33,2,1,1,93,48,15,3,15,73,1,21,1,1,1
