"n1","n2","n3","n4","n5","n6","n7","n8","n9","n10","n11","n12","n13","n14","n15","n16","n17","n18","n19","n20","n21","n22","n23","n24","n25","n26","n27","n28","n29","n30","n31","n32","n33","n34","n35"
"ERR2836377",-1.33441473207235,-0.359911379901987,-1.3438208306623,-0.0193787590903472,-0.778675337909429,0.690039530606131,-1.2788437759923,0.120110179634777,-1.09316397966563,0.00885667264837326,0.0720895332974502,-0.0151332740130237,-0.524980848153811,0.616301843950608,-2.92165442005566,-0.223328741573561,-0.104385973745996,-0.0215074943523648,-0.732859092376709,0.49271248164191,0.273256072932992,-0.269235669383872,-0.536345924204294,-0.615581796484307,1.04071374871098,-0.384842280173125,0.256309287305283,-0.0862176628183197,-0.115528796472477,-0.179192011772569,-0.861954783445496,-0.14499214525321,-0.357323926202552,-0.156575654852112,1.18196386356102
"ERR2836378",-0.569056827030493,-0.0212383270581633,-0.936781905024187,0.305685909204119,0.685429022237707,0.129914234858196,-1.59903139341475,-1.19178610418193,0.521384678888448,0.140503780713117,-0.575669000262802,-0.140081980189188,-0.169192981810488,0.332161164316277,-2.62724168247566,-0.423649635685193,-0.24481397513927,-0.000977511275207912,1.48661689162857,0.187173774024926,-0.372722511679656,-0.192235434039519,-0.261712491082772,0.24985946488918,1.40658341256943,-0.471333304989787,0.413503439781406,-0.0862176628183197,-0.368625273281053,0.407389539287611,0.101664051918188,0.31671842869508,-0.322698120867185,-0.462903053894258,-0.185609640034444
"ERR2836379",-0.803085614654324,-0.26695864911402,-0.836243272270957,-0.123482670037884,-0.858694392429171,0.186573939518807,-0.858710098180204,0.346880576787406,0.140267944163995,-0.213396732618389,0.088383236571324,0.403733126752469,-0.171263113350166,0.0340367552478784,0.311038528714423,-1.32888472711626,-0.602972841739416,0.228320840594907,-0.504536643630002,0.139051559979519,0.118669203498382,-0.402037833313238,0.124478395474369,0.00670014854175517,0.199355343018714,0.128664054247546,-0.135246999848714,-0.0315916152554369,0.648164571073462,0.284109429335673,0.0225607654758699,-0.135505081415001,-0.269240918599892,-0.141386341032559,-0.249501343280793
"ERR2836380",0.791880420750964,0.242295879389273,-1.7622398432506,-0.182518300298153,0.165159385615105,-0.1410248981025,0.215656131587926,0.0912387406762671,-0.485301015513946,0.0995612833525915,0.138944984750442,0.0969746499383407,-0.535437012899464,1.26607450242974,-3.00341649268286,-0.36907975655776,0.0233734502116658,-0.063523819062306,-1.71792397382467,0.34175818263401,-0.189055741070317,-0.687267131490689,0.282020025558293,0.349669013088646,-0.297249924650369,-0.593635316016413,0.0642292279515831,0.555442995154072,0.492908106358442,0.344299484324243,-0.851201037779758,0.25886913731419,-0.208038801486068,0.268790437610488,1.13266421806657
"ERR2836381",0.199520318725696,-0.348410938297867,-1.42629881785989,-0.265748945745575,0.165159385615105,-0.1410248981025,-0.244109952142509,-1.05974790042846,0.858560861185911,-0.671928348940852,-0.350770227250772,0.0588736792442304,0.011249336182489,1.73976627038728,-2.77214304447563,-0.411689105134078,0.314799793755498,-0.376481712148675,-2.26647181876489,-0.255324847576565,0.38992294403308,0.896087291464953,0.0462831076953139,-0.0527759290595429,-1.26786663522458,-0.385372687605788,0.321288210607052,-0.322950548830836,-0.0689290725306563,0.187154418417884,-0.0426869132169821,-0.636975594757823,0.0480029302392741,-0.127440148434385,-1.00754378035919
"ERR2836382",0.825914517348171,0.0125610453107873,-0.0363982063586799,-0.369109038484823,-0.233626454213857,-0.743153328586826,1.00244363671912,0.601527135029482,0.110536159001966,0.861055018197148,0.700217526756843,0.414155182803838,0.0871014255732433,-0.0199804843052591,-1.4867438858492,-0.217342464400064,0.487613056392824,-0.145576030961825,-1.82990829347582,-0.134613903970998,-0.638669859064581,-0.423447534414342,0.236262534795143,-0.298130215744507,-0.681874252873655,-0.500211035975859,0.0642292279515831,0.685209702930973,0.720668686831087,-0.240820944753653,-0.450702551521813,-0.181859879040974,-0.191362910009099,-0.0775074508370484,0.955130181195288
"ERR2836383",0.381530102473819,-0.249908521801903,-1.10879386624786,-0.0313834275019614,0.165159385615105,-0.1410248981025,-0.205275334521913,-0.1817656481493,0.229823417233393,-0.0922371961188465,-0.00242350615102479,-0.140081980189188,-0.169192981810488,0.332161164316277,-1.5390296950851,-0.718002092059724,-0.71119877219519,-1.32273658553629,-0.181640610432958,-0.618051675493677,0.512455943727566,0.697635395664594,0.264657068583281,-0.112104872280206,-0.409008210864251,-0.324640879663101,0.330615997480039,0.64953539901651,-0.610908047126197,0.697167525730234,-0.161486088876116,0.394006742572048,0.267337157690618,-0.0183843847205607,-0.301541470552593
"ERR2836384",0.86664455156268,-0.120312656289218,-1.00588692164736,-0.16889709884738,-0.194980113288603,-0.684801054556069,0.418940469914534,-0.275997879539134,-0.848515379864387,0.143807630889951,-0.583806446675848,-0.140081980189188,-0.169192981810488,0.332161164316277,-2.23990397768755,-0.572879333261135,0.597545759160599,0.588764833027638,-2.6725815569994,0.643840186667459,-0.223796721383952,-0.519905108737867,0.0797199568883285,0.291291701637007,-0.438582451636896,-0.462448473235354,0.0642292279515831,0.154021493859239,-0.334682387922815,0.194958234820013,-0.545650580405589,-0.131642831795627,0.0480029302392741,-0.422667107495978,1.04345019769009
"ERR2836385",0.693121211364939,-0.305523490527927,-0.961218506503761,0.190647600182468,-0.915149605559578,0.810207719433262,-0.100071927908511,-0.113533657820108,0.374309912861077,-0.801290386152752,-0.00242350615102481,-0.140081980189188,-0.169192981810488,0.332161164316277,-1.82520126889041,-0.9136970131818,-0.71119877219519,-2.07707704799232,0.0252625252574128,-0.20983778258694,0.512455943727566,-0.425988590757788,0.0885998903971185,-0.899559933852182,-1.85934062024234,1.22027003164129,0.0161009013571601,-0.261222022650174,0.398988475729733,0.149081424598734,-0.300336178120765,-0.0806179549921234,-0.215436504473729,0.0138248469369135,1.14206942746367
"ERR2836386",1.05413952311644,0.607421701861223,-0.0382786345627374,0.184730919885369,1.60573538120016,-0.111389327360562,-1.03315154648462,0.469998274364393,-0.906162787589016,-0.580720584303892,-0.597107032414774,-0.99968177355065,-0.169192981810488,0.332161164316277,-2.23317618382686,-1.62873068234514,-0.133341958641788,-0.243195668245004,-1.73063369122178,-0.0924300313811635,0.502549345874208,0.816439918788206,-0.015902458373947,0.365378109843545,-1.82846605157816,1.29125400110592,-0.0993669412812794,-0.254474077107573,0.222417641523268,0.486409877904015,-0.160223001953525,0.356586047594814,0.00752806155143331,0.373088817205362,-0.301541470552593
